AvailabilityZone,AvailabilityZoneId,AvailableIpAddressCount,CidrBlock,DefaultForAz,MapPublicIpOnLaunch,MapCustomerOwnedIpOnLaunch,State,SubnetId,VpcId,OwnerId,AssignIpv6AddressOnCreation,Ipv6CidrBlockAssociationSet,SubnetArn
us-east-1a,use1-az4,25,10.203.6.160/27,FALSE,FALSE,FALSE,available,subnet-b0dd6ec6,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-b0dd6ec6
us-east-1a,use1-az4,24,10.203.6.224/27,FALSE,FALSE,FALSE,available,subnet-c8dd6ebe,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c8dd6ebe
us-east-1b,use1-az6,14,10.203.0.32/27,FALSE,FALSE,FALSE,available,subnet-3af84a63,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-3af84a63
us-east-1c,use1-az1,16,10.194.60.64/27,FALSE,FALSE,FALSE,available,subnet-0a68e225275c3c2f4,vpc-0e999ead3381a15fd,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0a68e225275c3c2f4
us-east-1b,use1-az6,10,10.205.6.48/28,FALSE,FALSE,FALSE,available,subnet-9699dbcc,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-9699dbcc
us-east-1a,use1-az4,11,10.203.1.160/28,FALSE,FALSE,FALSE,available,subnet-e43c3a93,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-e43c3a93
us-east-1b,use1-az6,27,10.203.5.160/27,FALSE,FALSE,FALSE,available,subnet-154db449,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-154db449
us-east-1a,use1-az4,27,10.203.63.64/27,FALSE,FALSE,FALSE,available,subnet-c8dd4481,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c8dd4481
us-east-1a,use1-az4,13,10.203.0.0/27,FALSE,FALSE,FALSE,available,subnet-e58a1892,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-e58a1892
us-east-1b,use1-az6,10,10.205.6.16/28,FALSE,FALSE,FALSE,available,subnet-f4d213ac,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-f4d213ac
us-east-1b,use1-az6,11,10.203.5.16/28,FALSE,FALSE,FALSE,available,subnet-b3d7c6ea,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-b3d7c6ea
us-east-1b,use1-az6,105,10.205.2.0/24,FALSE,FALSE,FALSE,available,subnet-26f84a7f,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-26f84a7f
